id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
0,none,0.304082638,0.0001,417,475,-1,1089,327,4,3,7,0.074797949,24.24200893,0.409987211
1,l1,0.72774418,0.001,578,569,1,790,373,4,5,7,0.07778087,54.62630195,3.950952768
2,none,0.745885422,0.01,588,529,2,428,1198,2,5,6,0.030196244,17.99996401,0.368701935
3,none,0.474605082,0.001,829,103,4,877,313,6,5,7,0.057261112,82.25722237,1.00455904
4,elasticnet,0.395049437,0.001,167,418,2,216,644,8,5,11,0.073727701,95.51560076,0.802800179
5,l1,0.358837496,0.001,986,94,4,1396,861,4,2,6,0.097483381,31.97344681,7.916113138
6,none,0.758565384,0.0001,929,532,2,908,691,5,2,6,0.095324283,98.23836667,2.206062078
7,l1,0.282840611,0.0001,422,143,8,677,737,9,5,8,0.040463255,54.62820555,2.407142639
8,l1,0.766175888,0.01,308,85,8,498,1191,2,4,9,0.025638762,54.16634645,1.002341032
9,l2,0.249018493,0.001,510,574,8,1380,803,9,5,10,0.024620435,75.04805404,1.607144356
10,none,0.868099569,0.0001,479,535,8,1178,1047,7,4,8,0.017704942,73.65881618,0.905699253
11,l2,0.574206129,0.0001,259,960,2,860,639,10,2,11,0.036164815,82.90484142,1.003841877
12,elasticnet,0.421956091,0.001,618,460,4,628,195,3,5,9,0.077583935,12.87001034,0.803386688
13,l2,0.498461212,0.01,668,503,8,500,1370,9,4,8,0.085757082,47.61937706,1.2073915
14,l2,0.65872421,0.0001,386,66,2,907,1090,5,3,9,0.087698511,43.70476988,1.507311583
15,none,0.193891725,0.0001,103,288,2,111,573,3,3,8,0.005868679,23.33802954,0.1017344
16,none,0.796022768,0.01,691,947,1,484,1276,3,5,7,0.087911403,86.08049312,1.564079523
17,elasticnet,0.63175043,0.01,719,259,2,103,209,9,3,9,0.054385066,76.88807496,0.603312254
18,elasticnet,0.431558588,0.001,265,895,4,646,1001,3,5,7,0.025358379,53.09529102,1.405600786
19,elasticnet,0.734566114,0.0001,365,736,2,1251,877,4,4,11,0.043639043,89.98466959,6.013842106
20,none,0.728533262,0.001,213,101,4,222,128,6,4,8,0.000841724,20.91917088,0.104153633
21,elasticnet,0.660038854,0.001,280,443,8,336,646,3,5,6,0.066471638,17.7119632,0.50413084
22,none,0.677498028,0.0001,213,445,2,859,562,8,2,9,0.031038686,43.45140269,0.603173494
23,none,0.184389982,0.01,306,446,-1,704,611,10,5,8,0.025607122,26.31383823,0.308613777
24,l1,0.501121654,0.0001,695,254,2,893,405,3,2,6,0.084396772,90.24700006,3.107063532
25,none,0.627662201,0.001,871,499,1,173,468,6,3,9,0.047897248,52.69709212,0.542533159
26,elasticnet,0.324578263,0.001,973,987,2,426,245,7,3,9,0.04222734,81.57823513,3.107123852
27,l2,0.85619463,0.0001,763,834,4,584,130,6,4,11,0.088963517,39.5414293,0.302662849
28,none,0.247042603,0.001,130,854,-1,1244,960,10,2,9,0.042828111,19.31355411,0.307452917
29,none,0.634387546,0.01,846,531,2,409,1243,9,5,11,0.028190908,56.1598627,2.706452608
30,l2,0.851089074,0.001,362,610,-1,1052,973,9,2,10,0.028050896,84.78298125,0.710374594
31,l2,0.821664209,0.001,161,978,2,621,1037,6,5,7,0.098146975,67.65263265,0.403149605
32,l2,0.654283855,0.0001,944,678,4,151,835,3,4,9,0.021448468,56.5276906,0.202348232
33,l1,0.325769451,0.001,420,390,4,1058,607,8,3,7,0.096584654,32.41464413,3.708951235
34,none,0.797149359,0.001,794,684,2,826,327,3,5,10,0.064560723,71.06891425,0.803497791
35,elasticnet,0.415559571,0.001,639,205,2,418,768,4,4,8,0.028196963,8.132057461,2.906409979
36,none,0.740437099,0.01,735,524,2,1071,889,9,4,10,0.00783966,38.66135659,5.011070013
37,none,0.378960012,0.001,265,571,8,602,530,3,4,7,0.011067881,61.64210878,0.204308033
38,l1,0.884007579,0.0001,944,502,2,1396,493,10,2,11,0.091744692,61.53857987,22.13564038
39,none,0.671603942,0.001,123,525,2,267,509,7,5,9,0.090634175,78.06038637,0.103012323
40,l1,0.245255087,0.001,452,293,-1,1194,1028,8,2,8,0.06670479,64.35453322,3.616493225
41,elasticnet,0.123018065,0.001,833,375,4,219,1309,5,4,9,0.024287178,10.26957643,3.208013535
42,l2,0.667570778,0.001,976,842,8,1217,113,7,4,11,0.0720008,43.5834977,0.5041821
43,none,0.669810869,0.01,913,713,-1,329,806,3,3,7,0.06429757,87.97230491,0.408014536
44,l2,0.895219919,0.01,255,264,4,1064,627,7,4,8,0.042556025,2.71073665,0.503879786
45,l2,0.31950425,0.001,420,434,2,1366,944,5,5,9,0.056887551,92.74873645,2.107222319
46,elasticnet,0.440556267,0.0001,480,139,2,1047,523,6,3,7,0.041008925,34.27439878,6.31253767
47,elasticnet,0.718741419,0.0001,335,233,2,952,1379,7,5,12,0.069351444,5.965018568,12.42343616
48,elasticnet,0.541496591,0.001,757,717,1,910,1059,5,2,10,0.028574634,99.66447325,25.18621421
49,none,0.449655784,0.0001,513,658,-1,107,154,10,2,7,0.081394423,6.651352636,0.106933832
50,l1,0.769557181,0.0001,769,601,8,1152,233,8,2,11,0.022866477,40.02270228,2.307451248
51,elasticnet,0.523537899,0.01,686,191,4,486,369,5,5,9,0.069092009,99.10231999,1.805185318
52,l1,0.661151908,0.0001,172,485,1,1284,826,6,3,7,0.066881772,55.35308722,6.076055527
53,elasticnet,0.520763815,0.001,397,670,2,497,770,2,5,10,0.072962654,52.9848701,1.04891777
54,elasticnet,0.167353545,0.001,199,527,8,637,415,3,4,9,0.005147937,55.19891497,0.505056381
55,l1,0.166331607,0.0001,735,216,1,1313,686,3,4,9,0.003371858,95.43242066,10.91638327
56,elasticnet,0.53732723,0.01,939,533,-1,280,585,7,4,10,0.030784563,96.31701637,1.307864904
57,l2,0.57837129,0.001,526,675,-1,476,481,8,4,12,0.093173107,90.58993805,0.207501888
58,none,0.136282869,0.0001,727,543,4,1290,1048,7,3,7,0.014083648,17.72083983,2.608286381
59,none,0.333592677,0.01,686,6,8,1039,431,4,4,10,0.020258697,5.774012522,0.605003119
60,none,0.533076732,0.001,758,454,8,1234,1252,4,3,10,0.01930983,32.55263758,1.608695269
61,none,0.698590719,0.01,600,778,1,763,1394,2,4,10,0.010422642,19.84628021,0.783116817
62,l1,0.145860937,0.0001,315,812,2,1157,459,4,3,9,0.094500552,61.03125695,2.506043673
63,l1,0.780078639,0.0001,839,788,2,239,211,9,2,7,0.084203239,80.18689158,1.504099846
64,none,0.847648596,0.01,560,206,1,1351,162,9,5,11,0.004227883,64.22695031,1.992304325
65,l1,0.764424187,0.001,275,78,8,592,316,5,3,9,0.008014936,95.61217465,0.403861761
66,none,0.795942099,0.001,401,801,1,663,1295,8,2,11,0.01464719,39.99192763,3.355512619
67,l2,0.429501157,0.0001,924,439,4,388,707,3,5,10,0.088978836,25.31745482,0.403793573
68,l2,0.884469583,0.01,370,137,8,517,1263,8,4,11,0.082320399,79.59594837,0.404758692
69,l2,0.781358065,0.001,373,763,4,1273,339,2,5,8,0.031474288,28.36454837,0.296210051
70,none,0.72219194,0.001,764,493,8,664,1073,3,2,6,0.069920205,68.18126303,0.705033541
71,l2,0.573314224,0.01,274,744,2,733,262,4,3,8,0.096451485,61.88778305,0.302229166
72,l1,0.289755543,0.01,270,324,1,1296,1264,5,2,10,0.073049491,36.78157137,12.60606813
73,l2,0.633055346,0.0001,212,528,1,545,1099,5,3,7,0.027015069,5.081792131,0.783214331
74,l2,0.81609605,0.001,251,194,8,555,1121,4,4,7,0.023355714,91.55558503,0.304872513
75,l1,0.438420129,0.0001,460,2,-1,1126,1155,5,3,9,0.047942215,25.32395359,3.617695093
76,elasticnet,0.168126923,0.01,737,958,2,1050,809,8,4,10,0.083376168,97.33345437,18.02988076
77,none,0.225920674,0.001,797,646,1,819,543,4,2,8,0.029815752,95.31878888,1.807029486
78,l1,0.715864725,0.01,423,651,1,869,311,4,2,6,0.039076711,8.238954436,2.675535679
79,l2,0.724333125,0.001,689,724,1,469,980,3,2,8,0.022630224,72.73738518,1.169397116
80,l2,0.470237755,0.0001,817,636,-1,977,281,5,3,9,0.050181802,8.632763027,0.508998156
81,elasticnet,0.68153135,0.0001,803,484,4,727,695,9,3,10,0.0279136,3.809690198,8.816298008
82,elasticnet,0.719170987,0.01,765,588,2,716,1326,2,5,7,0.025159336,36.20335816,4.876769543
83,elasticnet,0.678089485,0.0001,247,245,4,229,947,9,4,9,0.057513332,3.190432879,1.204249382
84,l1,0.20282013,0.001,870,996,1,679,291,10,5,9,0.053321778,50.37560776,10.1505723
85,none,0.547567881,0.01,303,991,2,316,604,3,3,10,0.043787106,44.34279013,0.202739
86,elasticnet,0.614457681,0.0001,723,528,-1,622,655,2,5,10,0.010718198,80.29550416,2.045994282
87,none,0.660290077,0.0001,443,747,-1,366,1020,3,3,7,0.016837862,77.61048894,0.308437824
88,elasticnet,0.347747242,0.01,749,842,4,1336,696,2,2,7,0.069031415,31.8703402,3.989420652
89,elasticnet,0.216456478,0.01,816,481,2,178,187,10,2,11,0.060596167,33.88345782,1.104005098
90,none,0.41910317,0.001,519,737,-1,956,586,9,4,11,0.061948525,14.38972396,0.609313726
91,none,0.257926045,0.001,696,75,8,1261,877,3,3,9,0.081730947,2.438532767,1.106198549
92,l1,0.521327556,0.01,453,553,4,599,732,4,3,9,0.060835086,21.2074382,1.304980755
93,l2,0.107835224,0.0001,277,622,8,1118,478,5,5,9,0.005698099,62.73751881,0.304014206
94,elasticnet,0.796808239,0.001,738,565,4,141,1137,4,2,8,0.000474221,23.97828437,0.903513908
95,none,0.352792608,0.001,105,120,4,1057,1263,6,4,8,0.0048174,42.03845886,0.404728889
96,l1,0.680040984,0.01,291,266,8,1283,1159,4,4,11,0.09058378,26.43823506,2.810808659
97,elasticnet,0.25073793,0.01,674,1000,8,1220,729,6,2,6,0.003299097,85.98874629,4.412492514
98,l2,0.193841767,0.01,277,955,8,619,280,5,2,7,0.045053202,96.42851189,0.204115391
99,elasticnet,0.254140823,0.001,348,990,4,1150,300,4,5,8,0.093057824,98.07395408,1.404977798
100,l1,0.712111342,0.01,483,211,-1,1299,130,6,3,9,0.015476462,94.52401721,1.110111237
101,none,0.836964712,0.01,392,170,4,1192,1195,8,5,8,0.069605395,60.15583045,1.709271669
102,elasticnet,0.552268164,0.0001,105,230,-1,1063,922,10,5,8,0.021835745,25.32858058,1.113870144
103,l2,0.695610175,0.0001,832,973,-1,948,1299,8,2,9,0.012388355,7.079640745,1.511168242
104,l2,0.835906297,0.01,982,214,4,581,605,6,5,10,0.031223134,15.35190943,0.904152155
105,l2,0.371446745,0.001,875,752,8,784,650,5,3,9,0.033795422,83.25792977,0.704808235
106,l2,0.69471057,0.01,322,533,-1,1182,310,8,2,8,0.046450905,13.39221447,0.307986021
107,none,0.265930313,0.0001,254,798,-1,641,952,6,4,11,0.008695688,28.60144257,0.306227207
108,l2,0.325783657,0.01,555,631,-1,1285,1227,8,4,8,0.008037585,66.71466472,1.310632706
109,l2,0.603925597,0.0001,462,179,4,328,1039,7,5,8,0.025783834,70.1185464,0.403601885
110,none,0.141592547,0.001,794,196,4,972,516,3,3,7,0.093205053,70.87900403,0.603680611
111,l2,0.5424551,0.01,478,675,4,252,483,2,4,8,0.002610212,35.22568364,0.075341702
112,none,0.693407692,0.0001,316,728,4,707,300,2,4,8,0.009515852,31.19279889,0.091724634
113,l1,0.266051894,0.01,638,695,4,444,149,5,3,8,0.01349328,87.95687312,0.603157759
114,elasticnet,0.609551203,0.001,493,629,4,1105,637,2,3,6,0.015737663,4.748500638,2.221226215
115,elasticnet,0.33534869,0.001,895,157,8,752,1080,4,3,10,0.047941674,84.18964005,5.613289118
116,none,0.158176886,0.001,902,9,8,1194,480,7,4,8,0.051571712,46.50837493,1.105895042
117,elasticnet,0.834040191,0.0001,224,697,8,1330,589,4,2,10,0.072489928,32.81719608,1.507113457
118,none,0.364383183,0.01,820,155,4,1274,1318,7,4,10,0.038617116,76.76954814,3.912236452
119,elasticnet,0.104949134,0.0001,500,505,-1,1339,1047,7,3,11,0.076236112,7.063580261,5.622286558
120,l1,0.836016366,0.01,113,7,2,624,816,9,4,11,0.013258724,88.27767317,1.705229282
121,elasticnet,0.26348437,0.01,112,664,4,1047,179,5,5,9,0.020412965,59.35628169,0.402889013
122,l1,0.337113003,0.0001,444,539,8,719,118,10,5,12,0.091920121,69.02926792,0.904348373
123,l2,0.419010326,0.001,907,868,4,1321,1026,3,2,5,0.017778487,35.12943855,1.707449436
124,elasticnet,0.735276939,0.001,510,999,-1,281,343,4,2,8,0.059310243,44.58926385,0.509044409
125,elasticnet,0.405188893,0.0001,442,119,-1,578,1035,7,4,9,0.056843922,35.76619802,2.212547541
126,elasticnet,0.815379107,0.0001,957,532,1,1395,802,3,2,7,0.002301651,79.58992668,22.32152057
127,elasticnet,0.405089389,0.0001,122,792,4,497,1030,4,3,9,0.058777205,14.29243786,0.504525423
128,none,0.700697318,0.0001,119,202,4,433,863,9,2,11,0.096261301,4.762443648,0.202792168
129,l1,0.696817336,0.0001,719,538,4,444,838,10,2,9,0.019043848,68.37654534,4.810433149
130,l2,0.258808068,0.01,522,539,2,1275,883,4,2,7,0.011512891,50.23796359,1.505801439
131,l1,0.128370495,0.01,452,55,4,256,1095,6,3,7,0.042865431,66.76752625,1.505218983
132,l2,0.480889655,0.001,451,12,8,1231,262,6,2,10,0.034021235,77.88936693,0.404916525
133,elasticnet,0.256333,0.0001,334,368,4,873,1024,8,3,8,0.073236414,56.14595973,4.510543346
134,l2,0.83390177,0.0001,350,42,1,936,1397,5,2,8,0.074278569,15.5207103,2.897520304
135,l1,0.125200337,0.0001,711,892,8,267,142,2,2,9,0.084009744,88.03324147,0.152798653
136,elasticnet,0.83112815,0.001,592,769,1,191,805,8,3,7,0.029973246,18.28637798,5.008789539
137,elasticnet,0.491286259,0.01,707,127,8,1074,508,8,3,7,0.079101611,20.8795863,3.209592342
138,elasticnet,0.703836507,0.01,600,381,4,1284,830,3,3,7,0.095830459,14.23217095,4.411065578
139,l2,0.612040387,0.01,552,180,-1,1172,756,2,3,8,0.04739655,61.33570819,0.621322393
140,elasticnet,0.647343365,0.0001,934,582,-1,703,1190,2,5,8,0.012635685,10.12294776,5.368126392
141,elasticnet,0.760179375,0.001,701,0,-1,881,997,9,3,8,0.023105979,38.80710656,4.818053484
142,l1,0.596166933,0.0001,464,924,1,1378,223,6,3,8,0.03714907,50.74215838,6.450396299
143,l1,0.856176529,0.001,446,13,8,837,414,3,3,6,0.012444655,28.44314439,1.105915785
144,l2,0.875811512,0.01,431,19,4,1256,761,2,3,7,0.090040005,77.04604078,0.528844595
145,l1,0.884154681,0.01,190,192,4,194,1037,3,4,7,0.069060864,11.03793604,0.302906036
146,none,0.310505371,0.0001,761,671,1,1021,1362,9,5,11,0.09794672,98.85266974,11.71516609
147,l1,0.824461231,0.0001,902,99,1,107,1384,8,5,8,0.015682108,77.88234755,5.963968277
148,none,0.186410519,0.001,286,740,4,321,861,10,2,9,0.091487673,60.56571401,0.303084135
149,none,0.124167299,0.0001,434,745,-1,1351,1020,3,3,9,0.011966249,7.163308468,0.811238527
150,l2,0.379461263,0.01,511,919,-1,742,146,8,3,11,0.014524126,74.94620146,0.20758462
151,elasticnet,0.680272509,0.0001,326,600,1,128,572,5,2,10,0.054860768,97.64149244,0.835600853
152,elasticnet,0.348460003,0.001,664,397,-1,476,548,6,5,11,0.043738777,28.92396987,1.51012969
153,l2,0.41493716,0.0001,953,74,2,385,545,8,2,10,0.067867672,75.92954738,1.203916073
154,none,0.776581322,0.0001,221,628,-1,536,655,10,5,9,0.019354151,73.06336646,0.207169294
155,none,0.602279508,0.0001,476,641,-1,1311,1123,6,5,9,0.099467631,19.8562598,0.910289049
156,l1,0.298077916,0.001,952,819,1,717,814,6,3,8,0.083515709,15.58268425,18.20137239
157,l2,0.275326096,0.01,454,778,2,999,458,7,3,10,0.082199494,48.54848961,1.305962324
158,none,0.286940421,0.001,778,282,4,553,1333,7,5,8,0.034559049,61.61805388,1.405981779
159,l1,0.696746835,0.001,143,554,8,141,1226,2,2,8,0.057746734,89.68216741,0.139347315
160,none,0.468688774,0.01,958,646,1,194,181,3,2,7,0.074286206,60.80798475,0.14248848
161,elasticnet,0.221786894,0.01,640,964,4,485,857,4,5,10,0.087633548,68.16235977,2.00579977
162,l1,0.872090085,0.01,352,558,2,1197,675,9,2,7,0.064073591,56.94033005,8.816213369
163,none,0.438062373,0.01,204,98,-1,166,803,6,4,7,0.005976657,93.99294884,0.108281851
164,none,0.699754682,0.01,943,838,2,343,1195,8,3,9,0.018574091,16.38882782,1.905147552
165,l1,0.199683427,0.0001,880,789,8,639,1191,9,3,11,0.092404956,1.91238971,7.415954828
166,l1,0.525331353,0.01,898,874,4,338,1064,6,5,10,0.068692284,69.81606229,3.808150768
167,none,0.705620357,0.01,900,878,4,184,1076,5,4,9,0.02384923,9.76938823,0.503054619
168,elasticnet,0.507148549,0.0001,727,881,-1,663,900,10,3,9,0.041995371,20.46776908,3.618200064
169,l1,0.361828136,0.01,948,732,1,271,1063,4,4,8,0.050313781,12.86623809,5.927548409
170,elasticnet,0.533220801,0.001,878,447,1,160,227,10,2,9,0.021788791,3.486242576,2.075516701
171,none,0.784826608,0.01,726,559,1,1048,357,10,3,8,0.076115811,14.77606507,4.705183268
172,l2,0.490443131,0.01,732,871,1,299,1081,7,3,8,0.051651957,38.23551592,2.02889967
173,elasticnet,0.283451817,0.01,911,612,2,760,724,10,3,11,0.033390801,53.70549241,16.92639995
174,l2,0.23342504,0.01,780,810,4,1142,1079,10,3,11,0.020693493,58.50041572,3.70978117
175,none,0.803398851,0.01,761,303,2,145,1318,4,2,9,0.045213329,5.175807697,0.402719975
176,l1,0.386435973,0.01,202,873,8,867,999,6,4,7,0.07497883,42.46653024,1.20643568
177,l1,0.497070093,0.01,420,883,1,886,1213,5,3,9,0.099760218,36.47172491,12.56846571
178,elasticnet,0.768319931,0.0001,715,91,1,1107,757,8,2,10,0.075669122,40.09827203,33.45044708
179,elasticnet,0.475773937,0.0001,414,872,2,1017,872,7,5,8,0.078864767,23.15347348,10.51932883
180,elasticnet,0.407026086,0.001,147,299,4,543,1039,10,5,12,0.057500188,87.91822286,1.90612936
181,elasticnet,0.675189266,0.001,389,574,4,906,147,7,3,11,0.077373524,82.42644201,1.304673672
182,none,0.396101777,0.0001,159,556,4,999,1000,7,2,8,0.003856737,1.908348999,0.504334688
183,l1,0.83846299,0.001,998,418,-1,831,193,10,5,8,0.050863896,50.84866376,1.812030792
184,l2,0.700660242,0.0001,930,899,2,700,1152,8,2,11,0.039273038,6.392235088,3.70854187
185,elasticnet,0.563439655,0.01,875,177,-1,802,676,8,5,10,0.099586208,45.84785365,3.61275959
186,elasticnet,0.588019154,0.0001,856,573,2,1029,306,8,2,7,0.015516412,45.22485526,9.815907955
187,elasticnet,0.326674994,0.01,427,128,4,913,572,6,3,10,0.038678529,93.03721661,3.409080029
188,l1,0.158059866,0.01,782,26,-1,308,1192,3,5,6,0.013620028,98.54425791,1.711677551
189,l1,0.695892457,0.001,105,374,2,1058,549,7,3,7,0.008472214,74.75214642,1.504757404
190,l2,0.349338199,0.01,907,329,4,164,779,7,2,7,0.020502178,43.38737102,0.303043604
191,none,0.100355768,0.01,374,640,2,750,504,7,4,10,0.078479387,14.61917737,0.903428078
192,elasticnet,0.623525014,0.0001,692,120,4,144,1206,5,3,8,0.09437394,16.65568837,1.806587458
193,l1,0.122518042,0.0001,228,140,4,395,931,5,5,7,0.046067091,48.40266842,1.006319046
194,none,0.188190131,0.01,876,414,2,776,717,9,3,10,0.02150674,77.71206752,3.207613707
195,l2,0.400090456,0.001,824,320,8,676,1199,6,5,8,0.095689024,98.22373212,1.006120682
196,l1,0.795043415,0.0001,998,198,1,1358,323,2,5,8,0.071029898,13.71550989,3.660505295
197,none,0.178155134,0.001,670,939,1,559,178,7,5,8,0.073608124,25.23518314,0.778235435
198,elasticnet,0.615078046,0.001,435,286,8,769,347,9,5,12,0.066912612,71.38287334,1.907328844
